English Name,Chinese Name
Face Hunter,T7猎
Wild Big Shaman,大哥萨
Discard Warlock / DiscardLock,弃牌术
Darkglare Discard Warlock / Darkglare DiscardLock,黑眼弃牌术
Wild Even Shaman,偶萨 / 偶数萨
Wild Odd Druid,奇数骑 / 奇骑
Token Druid / Gibberling Druid,菊花德 / 巨化德
