English Name,Chinese Name
Darkglare Zoo Warlock,黑眼弃牌术
Token Druid / Gibberling Druid,菊花德 / 巨化德
Wild Even Shaman,偶萨 / 偶数萨
Wild Odd Druid,奇数骑 / 奇骑
Beast Druid / Spiteful Druid,顺风德
