English Name,Chinese Name
Face Hunter,T7猎 / T7
Soul Demon Hunter,残片瞎
Darkglare Zoo Warlock,黑眼弃牌术
Bomb Warrior,炸弹战 / 炸弹站
Highlander Hunter,宇宙猎
